# Rakic 1995 (Al), R from n,k, 20 nm grid. CC0 via refractiveindex.info.
# aliases: aluminium aluminum
wavelength_nm,reflectance
360.0,0.925
380.0,0.925
400.0,0.924
420.0,0.923
440.0,0.923
460.0,0.921
480.0,0.92
500.0,0.919
520.0,0.918
540.0,0.916
560.0,0.915
580.0,0.913
600.0,0.911
620.0,0.91
640.0,0.907
660.0,0.904
680.0,0.901
700.0,0.897
720.0,0.894
740.0,0.888
760.0,0.882
780.0,0.875
800.0,0.868
820.0,0.866
