# Johnson & Christy 1972 (Ag), R from n,k. CC0 via refractiveindex.info.
# aliases: silver
wavelength_nm,reflectance
354.2,0.876
367.9,0.928
381.5,0.956
397.4,0.963
413.3,0.968
430.5,0.978
450.9,0.98
471.4,0.979
495.9,0.981
520.9,0.984
548.6,0.983
582.1,0.987
616.8,0.987
659.5,0.991
704.5,0.993
756.0,0.996
821.1,0.995
892.0,0.996
