# Johnson & Christy 1972 (Au), R from n,k. CC0 via refractiveindex.info.
# aliases: gold
wavelength_nm,reflectance
354.2,0.383
367.9,0.392
381.5,0.403
397.4,0.407
413.3,0.409
430.5,0.408
450.9,0.408
471.4,0.401
495.9,0.447
520.9,0.643
548.6,0.787
582.1,0.882
616.8,0.931
659.5,0.963
704.5,0.971
756.0,0.974
821.1,0.976
892.0,0.98
