# Johnson & Christy 1972 (Cu), R from n,k. CC0 via refractiveindex.info.
# aliases: copper
wavelength_nm,reflectance
354.2,0.41
367.9,0.426
381.5,0.446
397.4,0.464
413.3,0.492
430.5,0.518
450.9,0.539
471.4,0.555
495.9,0.576
520.9,0.591
548.6,0.619
582.1,0.726
616.8,0.9
659.5,0.943
704.5,0.956
756.0,0.959
821.1,0.963
892.0,0.966
