# Rakic 1998 (Cr, LD model), R from n,k, 20 nm grid. CC0 via refractiveindex.info.
# aliases: chromium chrome
wavelength_nm,reflectance
360.0,0.647
380.0,0.65
400.0,0.652
420.0,0.654
440.0,0.654
460.0,0.654
480.0,0.654
500.0,0.653
520.0,0.652
540.0,0.65
560.0,0.649
580.0,0.647
600.0,0.646
620.0,0.644
640.0,0.643
660.0,0.641
680.0,0.639
700.0,0.638
720.0,0.636
740.0,0.635
760.0,0.634
780.0,0.633
800.0,0.631
820.0,0.63
