# USGS splib07 medium-red building brick (public domain, DOI 10.5066/F7RR1WDJ).
# aliases: brick
wavelength_nm,reflectance
360.0,0.082
380.0,0.08
400.0,0.078
420.0,0.077
440.0,0.078
460.0,0.079
480.0,0.08
500.0,0.082
520.0,0.085
540.0,0.091
560.0,0.113
580.0,0.167
600.0,0.213
620.0,0.229
640.0,0.234
660.0,0.238
680.0,0.243
700.0,0.249
720.0,0.253
740.0,0.254
760.0,0.253
780.0,0.249
800.0,0.244
820.0,0.24
